n_nodes,model_path,prune (y/n),|Q|,|e|,map/mpe,order_method,iteration,time
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_degree,1,63852000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_degree,2,80255000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_degree,3,67990000
10,testing/rand_bn_nodes_10_2.BIFXML,True,3,3,map,min_degree,4,67015000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_degree,0,73429000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_degree,1,67681000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_degree,2,65253000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_degree,3,55871000
10,testing/rand_bn_nodes_10_3.BIFXML,True,3,3,map,min_degree,4,55542000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_degree,0,95194000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_degree,1,81752000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_degree,2,81277000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_degree,3,79872000
10,testing/rand_bn_nodes_10_4.BIFXML,True,3,3,map,min_degree,4,73789000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_degree,0,86213000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_degree,1,97103000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_degree,2,102071000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_degree,3,83853000
10,testing/rand_bn_nodes_10_5.BIFXML,True,3,3,map,min_degree,4,83549000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_degree,0,201330000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_degree,1,277388000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_degree,2,190218000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_degree,3,195555000
15,testing/rand_bn_nodes_15_1.BIFXML,True,5,5,map,min_degree,4,219284000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_degree,0,173925000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_degree,1,166303000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_degree,2,164208000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_degree,3,170847000
15,testing/rand_bn_nodes_15_2.BIFXML,True,5,5,map,min_degree,4,163437000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_degree,0,263759000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_degree,1,246632000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_degree,2,271826000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_degree,3,224401000
15,testing/rand_bn_nodes_15_3.BIFXML,True,5,5,map,min_degree,4,289583000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_degree,0,166431000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_degree,1,153559000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_degree,2,260581000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_degree,3,162123000
15,testing/rand_bn_nodes_15_4.BIFXML,True,5,5,map,min_degree,4,149935000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_degree,0,239405000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_degree,1,221809000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_degree,2,224282000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_degree,3,232186000
15,testing/rand_bn_nodes_15_5.BIFXML,True,5,5,map,min_degree,4,260627000
20,testing/rand_bn_nodes_20_1.BIFXML,True,6,6,map,min_degree,0,1766083000
